编号,厂家,名字,编码,类型,分类,药店,市场价,销售价
4756,青岛伦敦杜雷斯有限公司,杜蕾斯避孕套（挚爱装)12只,6923150000000 ,0,312,华联连锁药店,44.28,36.9
4755,北京诺华制药有限公司,得理多片(卡马西平片)(禁退)200MG*30片,2017080000000 ,0,461,华联连锁药店,33,28
4754,山西云鹏制药有限公司,硝苯地平片(码)10mg*100片,2017080000000 ,0,459,华联连锁药店,2.4,2
4753,广东彼迪药业有限公司,苯磺酸氨氯地平片5mg*14s,6926950000000 ,0,459,华联连锁药店,17.4,14.5
4752,杭州默沙东制药有限公司,舒降之片(禁退)20mg*7片,2017080000000 ,0,459,华联连锁药店,27,22.5
4751,华中药业股份有限公司,安乃近片0.5克*100片,2017080000000 ,0,460,华联连锁药店,5.4,4.5
4675,浙江莎普爱思药业股份有限公司,二氟尼柳片250mg*12s,6923480000000 ,0,460,华联连锁药店,40.8,34
4674,江苏,水银温度计0-50度,2017070000000 ,0,451,华联连锁药店,9.6,8
4673,江苏鱼跃医疗设备有限公司,助行器（YU710）,2017070000000 ,0,452,华联连锁药店,294,245
4672,李时珍医药集团有限公司,艾阴洁皮肤粘膜抗菌洗剂60g*泡沫型,6920760000000 ,0,306,华联连锁药店,81.6,68
4671,浙江诗洁生物制药有限公司,1#诗洁女士清洁液420ml,6921010000000 ,0,306,华联连锁药店,20.4,17
4670,浙江省嵊州市天马消毒剂厂,消毒酒精   *95%*500ml,2017070000000 ,0,36,华联连锁药店,7.56,6.3
4669,浙江省嵊州市天马消毒剂厂,消毒酒精   *75%*500ml,2017070000000 ,0,36,华联连锁药店,6.36,5.3
4668,江西康美医药保健品有限公司,妇炎洁洗液380ml,6921010000000 ,0,306,华联连锁药店,18,15
4667,平舆冰王生物工程有限公司,冰王野菊花止痒抑菌露65ml,6922040000000 ,0,6,华联连锁药店,33.6,28
4666,平舆玛雅生物工程有限公司,虎镖薄荷抑菌膏20g,6940200000000 ,0,6,华联连锁药店,18,15
4665,江西康美医药保健品有限公司,妇炎洁洗洗套装200ml*200ml,6923600000000 ,0,306,华联连锁药店,104.4,87
4664,利洁时家化（中国）有限公司,滴露消毒液,6921670000000 ,0,501,华联连锁药店,51.48,42.9
4663,平舆冰王生物工程有限公司,冰王维爽净抑菌喷剂65ml,6922040000000 ,0,40,华联连锁药店,36,30
4662,平舆冰王生物工程有限公司,冰王肤立安抑菌膏30g,6922040000000 ,0,40,华联连锁药店,43.2,36
4661,四川康纳生物科技有限公司,名露除臭抑菌剂32ML*2/盒,6952660000000 ,0,40,华联连锁药店,108,90
4660,杭州普瑞美克生物科技有限公司,方回春堂清皮腺抗菌洗剂,6946280000000 ,0,40,华联连锁药店,71.4,59.5
4659,江苏奇力康皮肤药业有限公司,美国护肤甘油抑菌剂（消）118g,6948390000000 ,0,40,华联连锁药店,14.4,12
4658,江苏齐力康皮肤药业有限公司,尿素霜抑菌剂（消）50g    *,6948390000000 ,0,40,华联连锁药店,9.36,7.8
4657,江苏奇力康皮肤药业有限公司,力康霜抗菌剂（消）10g,6948390000000 ,0,40,华联连锁药店,18.96,15.8
4656,平舆玛雅生物工程有限公司,虎镖芦荟抑菌凝胶120g,6940200000000 ,0,40,华联连锁药店,93.6,78
4655,平舆玛雅生物工程有限公司,虎镖芦荟抑菌凝胶15g,6940200000000 ,0,40,华联连锁药店,33.6,28
4654,平舆玛雅生物工程有限公司,虎镖鲨油硼酸抑菌膏20g   *,6940200000000 ,0,40,华联连锁药店,33.6,28
4653,平舆玛雅生物工程有限公司,虎镖洋甘菊修复抑菌霜50g,6940200000000 ,0,40,华联连锁药店,105.6,88
4652,平舆玛雅生物工程有限公司,虎镖洋甘菊抑菌液80ml,6940200000000 ,0,40,华联连锁药店,57.6,48
4651,平舆玛雅生物工程有限公司,虎镖痘可迪修复抑菌膏20g,6940200000000 ,0,34,华联连锁药店,81.6,68
4650,江西康美医药保健品有限公司,1#妇炎洁本草精华抑菌洗液260ml,6923600000000 ,0,306,华联连锁药店,36,30
4649,江西康美医药保健品有限公司,1#妇炎洁本草精华抑菌洗液160ml,6923600000000 ,0,306,华联连锁药店,25.2,21
4648,杭州欧拓普生物技术有限公司,欧洁消毒酒精100ml*75%*,6933120000000 ,0,36,华联连锁药店,7.2,6
4647,杭州欧拓普生物技术有限公司,欧洁消毒酒精250ml*75%,6933120000000 ,0,36,华联连锁药店,10.8,9
4646,杭州欧拓普生物技术有限公司,欧洁消毒酒精500ml*95%,6933120000000 ,0,36,华联连锁药店,18,15
4645,浙江诗洁生物制药有限公司,1#诗洁女性生态洗液230ml,6921010000000 ,0,306,华联连锁药店,24,20
4644,重庆灵方生物技术有限公司,1#破立妥皮肤消毒喷雾剂10ml,6940450000000 ,0,36,华联连锁药店,30,25
4643,汤臣倍健股份有限公司,Z2倍健液体钙软胶囊1000mg*100粒,6940860000000 ,0,502,华联连锁药店,129.6,108
4642,广州市佰健生物工程有限公司,Z2倍健维生素C片600mg*100s,6930160000000 ,0,502,华联连锁药店,153.6,128
4641,汤臣倍健股份有限公司,Z2倍健牛初乳粉500mg*60袋,6940860000000 ,0,502,华联连锁药店,321.6,268
4640,北京澳特舒尔保健品开发有限公司,碧生源常润茶2.5g*25袋,6931180000000 ,0,506,华联连锁药店,69.6,58
4639,汤臣倍健股份有限公司,Z2倍健叶酸亚铁片510mg*60s,6940860000000 ,0,502,华联连锁药店,201.6,168
4638,汤臣倍健股份有限公司,Z2倍健牛初乳加钙咀嚼片1.2g*60s,6940860000000 ,0,502,华联连锁药店,153.6,128
4637,广州市佰健生物工程有限公司,Z2倍健蜂胶软胶囊500mg*60粒,6940860000000 ,0,505,华联连锁药店,357.6,298
4636,汤臣倍健股份有限公司,Z2倍健鱼油牛磺酸软胶囊500mg*90s,6940860000000 ,0,502,华联连锁药店,201.6,168
4635,广州市佰健生物工程有限公司,Z2倍健清好清畅胶囊400mg*60s,6930160000000 ,0,502,华联连锁药店,177.6,148
4634,江西草珊瑚药业有限公司,*魔方草牌罗汉果糖2g/粒*11粒*2板/盒,6931140000000 ,0,501,华联连锁药店,20.16,16.8
4633,江西草珊瑚药业有限公司,*魔方草牌金银花糖2g/粒*11粒*2板/盒,6931140000000 ,0,501,华联连锁药店,20.16,16.8
4632,北京澳特舒尔保健品开发有限公司,碧生源牌常菁茶2.5g/袋*20袋,6931180000000 ,0,506,华联连锁药店,83.76,59.8
4631,江西蜂之屋蜂业有限公司,国林牌枸杞蜂蜜（枣花蜂蜜）250克/瓶（枣花蜂蜜）,6953120000000 ,0,502,华联连锁药店,57.36,47.8
4630,江西蜂之屋蜂业有限公司,国林牌枸杞蜂蜜（洋槐蜂蜜）250克/瓶（洋槐蜂蜜）,6924380000000 ,0,502,华联连锁药店,58.56,48.8
4629,江西蜂之屋蜂业有限公司,国林牌枸杞蜂蜜250克/瓶,6924380000000 ,0,502,华联连锁药店,58.56,48.8
4628,珠海康奇有限公司,H2脑白金0.25克*30粒/250ml*3瓶,6931320000000 ,0,502,华联连锁药店,441.6,368
4627,汤臣倍健股份有限公司,Z2倍健蛋白质粉礼盒装505克（450G+B族55克/瓶）,6940860000000 ,0,502,华联连锁药店,513.6,428
4626,广州市赛健生物科技有限公司,Z2纽斯葆钙锌维C颗粒3G*30袋,6951260000000 ,0,502,华联连锁药店,201.6,168
4625,广州健之嘉健康食品有限公司,Z2纽斯葆牌蛋白质粉200g*2罐,6940060000000 ,0,502,华联连锁药店,405.6,338
4624,广州市健之嘉健康食品有限公司,Z2纽斯葆牌蛋白质粉450g,6940060000000 ,0,502,华联连锁药店,417.6,348
4623,广州市赛健生物科技有限公司,Z2纽斯葆牌柠檬酸钙颗粒5g*20袋,6951260000000 ,0,502,华联连锁药店,165.6,138
4622,杭州胡庆余堂药业有限公司,胡庆余堂铁皮枫斗晶3g*6袋*3盒,6903090000000 ,0,502,华联连锁药店,285.6,238
4621,美国,Z1新康麦斯深海鱼油胶囊100粒,763053000000 ,0,505,华联连锁药店,211.2,176
4620,杭州胡庆余堂药业有限公司,*铁皮枫斗晶(3g*6袋*16合),6903090000000 ,0,502,华联连锁药店,1461.6,1218
4619,杭州胡庆余堂药业有限公司,铁皮枫斗晶颗粒(3g*12袋*20盒）,6903090000000 ,0,502,华联连锁药店,3516,2930
4618,合生元（广州）健康产品有限公司,合生元儿童益生菌冲剂（1.5g*26袋）,6926330000000 ,0,502,华联连锁药店,211.2,176
4617,浙江森宇药业有限公司,森山牌铁皮枫斗冲剂礼盒（3g*6包*4盒）,6953470000000 ,0,502,华联连锁药店,390,325
4616,浙江森宇药业有限公司,森山牌铁皮枫斗冲剂（3g*12包）,6953470000000 ,0,502,华联连锁药店,201.6,168
4615,杭州胡庆余堂药业有限公司,铁皮枫斗晶（3g*6袋*2盒）,6903090000000 ,0,502,华联连锁药店,186,155
4614,杭州胡庆余堂药业有限公司,铁皮枫斗晶（3g*6袋*6盒）,6903090000000 ,0,502,华联连锁药店,570,475
4613,浙江森宇药业有限公司,森山铁皮枫斗冲剂（3g*8*5）,6953470000000 ,0,502,华联连锁药店,636,530
4612,合生元（广州）健康产品有限公司,合生元儿童益生菌冲剂（1.5g*48袋）,6926330000000 ,0,502,华联连锁药店,355.2,296
4611,广东康富来药业有限公司,康富来赛天仙牦牛骨髓壮骨粉（30g*10袋*2罐）,6930160000000 ,0,502,华联连锁药店,141.6,118
4610,浙江华方生命科技有限公司,*生命维他铁皮枫斗口服液（20ml*10支/盒（）,6936100000000 ,0,502,华联连锁药店,429.6,358
4609,成都三勒浆药业集团四川华美制药有限公司,*三勒浆牌三勒浆饮品（30ml×30瓶）,6908260000000 ,0,502,华联连锁药店,345.6,288
4608,江西草珊瑚药业有限公司,江绿葡萄糖酸锌口服液（10ml*10支）,6931140000000 ,0,502,华联连锁药店,29.76,24.8
4607,江西草珊瑚药业有限公司,江绿牌钙加锌口服液（10ml*10支）,6931140000000 ,0,502,华联连锁药店,29.76,24.8
4606,浙江康恩贝集团医疗保健品公司,贝贝血宝儿童营养液（10ML*12支）,6938840000000 ,0,502,华联连锁药店,81.6,68
4605,浙江康恩贝集团医疗保健品公司,贝贝开胃宝营养液（10ML*12支）,6938840000000 ,0,502,华联连锁药店,81.6,68
4604,南昌市草珊瑚生物技术有限公司,采森牌葡萄糖酸钙口服液（10ML*12支）,6935260000000 ,0,502,华联连锁药店,36,30
4603,南昌市草珊瑚生物技术有限公司,采森牌葡萄糖酸锌口服液（10ML*12支）,6935260000000 ,0,502,华联连锁药店,36,30
4602,杭州澳医保灵药业有限公司,新保灵孕宝（10ml×28支）,6901470000000 ,0,502,华联连锁药店,78,65
4601,金华寿仙谷药业有限公司,寿仙谷牌铁皮枫斗颗粒（2g*16包）,6938660000000 ,0,502,华联连锁药店,396,330
4600,舆冰王生物工程有限公司,*冰王薰衣草修痕抑菌凝胶20G,6922040000000 ,0,34,华联连锁药店,117.6,98
4599,平舆冰王生物工程有限公司,冰王金鳄油御寒护手霜60g,6922040000000 ,0,40,华联连锁药店,30,25
4598,平舆冰王生物工程有限公司,冰王鳄油冻疮消乳膏30g,6922040000000 ,0,40,华联连锁药店,31.2,26
4597,济南润科医药科技有限公司,倍恩母抑菌洗液180ml,6933260000000 ,0,306,华联连锁药店,93.6,78
4596,浙江诗洁生物制药有限公司,诗洁女性弱碱洗液230ml,6921010000000 ,0,306,华联连锁药店,27.48,22.9
4595,四川默森药业有限公司,达妇宁纳米银妇用抗菌洗液200ml*冲洗器*浓缩型,6951010000000 ,0,306,华联连锁药店,45.6,38
4594,四川默森药业有限公司,达妇宁湿养抗菌洗液200ml*冲洗器*浓缩型,6951010000000 ,0,306,华联连锁药店,45.6,38
4593,四川默森药业有限公司,达妇宁白念康阴道抗菌凝胶3.0克*5支,6951010000000 ,0,255,华联连锁药店,69.6,58
4592,四川默森药业有限公司,达妇宁银离子妇用抗菌凝胶3.0克*5支,6951010000000 ,0,255,华联连锁药店,69.6,58
4591,江西康美医药保健品有限公司,1#妇炎洁本草精华抑菌洗液260ml附冲洗器,6923600000000 ,0,306,华联连锁药店,432,36
4590,浙江森宇药业有限公司,森山牌灵芝灵芝破壁孢子粉胶囊（0.3g/粒*90粒）,6953470000000 ,0,502,华联连锁药店,441.6,368
4589,浙江森宇药业有限公司,&森山牌灵芝灵芝破壁孢子粉胶囊（0.3g/粒*72粒）,6953470000000 ,0,502,华联连锁药店,355.2,296
4588,仙乐健康科技股份有限公司（原广东仙乐制药）,鳕鱼肝油软胶囊（0.5g/粒*30粒）,6924220000000 ,0,505,华联连锁药店,94.8,79
4587,汤臣倍健股份有限公司,Z2倍健液体钙软胶囊（1000mg*200粒*2瓶）,6940860000000 ,0,502,华联连锁药店,304.8,254
4586,广东千林健康产业有限公司,H2钙尔奇维生素D钙软胶囊（1.0g/粒*110粒）,6937060000000 ,0,502,华联连锁药店,202.8,169
4585,广州健之嘉健康食品有限公司,Z2健之嘉蜂胶灵芝软胶囊（500mg*60粒）,6940060000000 ,0,505,华联连锁药店,237.6,198
4584,美力生制药集团有限公司,Z1美力生牌液体钙软胶囊（1.58g/粒*100粒）,603808000000 ,0,502,华联连锁药店,238.8,199
4583,浙江海力生制药有限公司,海力生脑元神胶丸（0.28g*90粒）,6937380000000 ,0,502,华联连锁药店,189.6,158
4582,西安杨健药业有限公司,香丹清牌珂妍胶囊（0.4g*20粒）,6939250000000 ,0,502,华联连锁药店,69.6,58
4581,海南养生堂药业有限公司,H2养生堂牌天然维生素E软胶囊（250mg/粒*200粒）,6910310000000 ,0,502,华联连锁药店,201.6,168
4580,汤臣倍健股份有限公司,Z2倍健鱼油软胶囊（1000mg/粒*100粒）,6940860000000 ,0,505,华联连锁药店,141.6,118
4579,海南养生堂药业有限公司,H2养生堂牌天然维生素E胶囊（30克（0.25g*120粒））,6910310000000 ,0,502,华联连锁药店,153.6,128
4578,浙江海力生制药有限公司,^海力生脑元神胶丸(280mg*10粒*2板*4盒),6937380000000 ,0,502,华联连锁药店,225.6,188
4577,浙江海力生生物科技股份有限公司,^盛之源牌灵芝胶囊（280mg*10粒*2板*4盒）,6937380000000 ,0,502,华联连锁药店,381.6,318
4576,广东康富来药业有限公司,康富来脑轻松胶囊（150粒）,6915570000000 ,0,502,华联连锁药店,18,156
4575,海南养生堂药业有限公司,成长快乐牌维生素AD滴剂(胶囊型)(1-2岁)0.35g*30粒,6910310000000 ,0,502,华联连锁药店,106.8,89
4574,海南养生堂药业有限公司,成长快乐牌维生素AD滴剂(胶囊型)(6-12个月)0.3g*30粒,6910310000000 ,0,502,华联连锁药店,106.8,89
4573,广州市赛健生物科技有限公司,Z2纽斯葆β胡萝卜素软胶囊（400mg*60粒）,6951260000000 ,0,502,华联连锁药店,201.6,168
4572,广州市健之嘉健康食品有限公司,Z2纽斯葆牌天然维生素E软胶囊（500mg*100粒）,6940060000000 ,0,502,华联连锁药店,177.6,148
4571,广州市健之嘉健康食品有限公司,Z2纽斯葆牌维D钙软胶囊（1.1g*100粒）,6940060000000 ,0,502,华联连锁药店,34.8,92
4570,广州市健之嘉健康食品有限公司,Z2纽斯葆牌鱼油软胶囊（1g*300粒）,6940060000000 ,0,502,华联连锁药店,333.6,278
4569,广州健之嘉健康食品有限公司,Z2纽斯葆牌鱼油软胶囊（1g*100粒）,6939140000000 ,0,505,华联连锁药店,129.6,108
4568,广州健之嘉健康食品有限公司,Z2纽斯葆牌大豆卵磷脂软胶囊（1G*300粒）,6940060000000 ,0,505,华联连锁药店,333.6,278
4567,广州市健之嘉健康食品有限公司,Z2纽斯葆牌大豆卵磷脂软胶囊（1g*100粒）,6940060000000 ,0,505,华联连锁药店,129.6,108
4566,广州市赛健生物科技有限公司,Z2纽斯葆牌红景天西洋参胶囊（360mg*8粒/板*6）,6951260000000 ,0,502,华联连锁药店,237.6,198
4565,广州市赛健生物科技有限公司,Z2纽斯葆牌金枪鱼油软胶囊500mg*100粒,6951260000000 ,0,505,华联连锁药店,177.6,148
4564,广州市海晟生物保健品有限公司,Z2纽斯葆秀之颜牌芦荟胶囊450mg*60粒,6940060000000 ,0,502,华联连锁药店,165.6,138
4563,美国,Z1新康麦斯卵磷脂胶囊（200粒）,763053000000 ,0,505,华联连锁药店,391.2,326
4562,Kong Long Group Corp.U.S.A,&Z1新康麦斯深海鱼油胶囊*（1000mg*200粒）,763053000000 ,0,505,华联连锁药店,391.2,326
4561,Kong Long Group Corp.U.S.A,*Z1新康麦斯补钙胶囊（450mg*100粒）,763053000000 ,0,502,华联连锁药店,223.2,186
4560,厦门金日制药有限公司,金日美国洋参胶囊（12粒*10盒*500mg）,6916500000000 ,0,502,华联连锁药店,172.8,144
4559,厦门金日制药有限公司,金日美国洋参胶囊（简）（0.5克*12粒*12盒）,6916500000000 ,0,502,华联连锁药店,198,165
4558,正大青春宝药业有限公司,青春宝美容胶囊（0.45g×30粒×2瓶）,6901990000000 ,0,504,华联连锁药店,78,65
4557,正大青春宝药业有限公司,青春宝美容胶囊（0.45g×30粒×5瓶）,6901990000000 ,0,504,华联连锁药店,198,165
4556,英国优尔格药业有限公司,福施福孕妇营养软胶囊（30粒）,6949570000000 ,0,502,华联连锁药店,177.6,148
4555,浙江森宇药业有限公司,森山牌铁皮枫斗胶囊（6小合*12粒）,6953470000000 ,0,502,华联连锁药店,282,235
4554,浙江森宇药业有限公司,森山牌铁皮枫斗胶囊（4小合*12粒）,6953470000000 ,0,502,华联连锁药店,198,165
4553,浙江康恩贝制药有限公司,元邦汉威牌康乐大宝胶囊（0.2g*96粒）,6904590000000 ,0,502,华联连锁药店,237.6,198
4552,杭州胡庆余堂药业有限公司,蜂胶胶囊（0.38g*12粒*8盒）,6903090000000 ,0,505,华联连锁药店,230,198
4551,汤臣倍健股份有限公司,Z2倍健天然B-胡萝卜素软胶囊（500mg*100粒）,6940860000000 ,0,502,华联连锁药店,249.6,208
4550,浙江康恩贝集团医疗保健品有限公司,新元邦汉威牌康乐大宝胶囊(家庭装）（120粒）,6904590000000 ,0,502,华联连锁药店,237.6,198
4549,厦门金日制药有限公司,金日牌美国洋参胶囊(金装)（0.5g*12s*12盒）,6916500000000 ,0,502,华联连锁药店,207.6,173
4548,上海黄金搭档生物科技有限公司无锡分公司,黄金搭档牌多种维生素矿物质片(女士型)（1000mg/片*120片/盒）,6936720000000 ,0,502,华联连锁药店,225.6,188
4547,上海黄金搭档生物科技有限公司无锡分公司,黄金搭档牌多种维生素矿物质咀嚼片（儿童及青少年型）（1000mg/片*120片/盒）,6936720000000 ,0,502,华联连锁药店,225.6,188
4546,上海黄金搭档生物科技有限公司无锡分公司,黄金搭档牌多种维生素矿物质片(中老年型)（1000mg/片*120片/盒）,6936720000000 ,0,502,华联连锁药店,225.6,188
4545,汤臣倍健股份有限公司,健力多氨糖软骨素钙片（倍健）（1.02g/片*100片/盒）,6940860000000 ,0,502,华联连锁药店,285.6,238
4544,江西草珊瑚药业有限公司,魔方草牌甘草罗汉果乌梅青果含片（1.8g/粒*11粒*2板/盒）,6931140000000 ,0,501,华联连锁药店,20.16,16.8
4543,江西草珊瑚药业有限公司,江绿牌甘草片（0.2g/片*160片/盒）,6931140000000 ,0,501,华联连锁药店,23.52,19.6
4542,汤臣倍健股份有限公司,Z2汤臣倍健多种维生素矿物质片（女士、男士型）（1.5g/片*60片*2礼盒（女士、男士型））礼盒,6940860000000 ,0,502,华联连锁药店,201.36,167.8
4541,广州市赛健生物科技有限公司,&Z2纽斯葆牌钙维D咀嚼片（香橙味）（2.0g/片*90片+2.0g/片*30片）,6951260000000 ,0,502,华联连锁药店,201.6,168
4540,汤臣倍健股份有限公司,Z2汤臣倍健多种维生素咀嚼片（青少年型）（1000mg/片*60片）,6940860000000 ,0,502,华联连锁药店,177.6,148
4539,汤臣倍健股份有限公司,Z2汤臣倍健钙铁锌咀嚼片（1.2g/片*60片）,6940860000000 ,0,502,华联连锁药店,129.6,108
4538,汤臣倍健股份有限公司,Z2汤臣倍健钙镁咀嚼片(儿童及青少年)（1.6g/片*90片）,6940860000000 ,0,502,华联连锁药店,141.6,118
4537,汤臣倍健股份有限公司,Z2汤臣倍健螺旋藻咀嚼片（600mg/片*300片）,6940860000000 ,0,505,华联连锁药店,321.6,268
4536,四川省佳汇泰生物科技开发有限公司,&增加骨密度咀嚼片（草莓味）（1.8克/片*30片）,6947130000000 ,0,502,华联连锁药店,117.6,98
4535,广东威士雅保健品有限公司,一轻松牌舒解片（0.6克*4片）,6905180000000 ,0,504,华联连锁药店,23.76,19.8
4534,威海百合生物技术股份有限公司,Z2牛初乳奶片0.6g/片*60片,6901710000000 ,0,502,华联连锁药店,177.6,148
4533,郑州博凯医药保健品有限公司,Z2维喜泡泡牌维生素C泡腾片（1.8g/片*20片）,6926140000000 ,0,502,华联连锁药店,35.76,29.8
4532,广州健之嘉健康食品有限公司,Z2纽斯葆牌维生素C片（500mg/片*100片）,6940060000000 ,0,502,华联连锁药店,165.6,138
4531,海南养生堂药业有限公司,H2养生堂牌天然维生素C咀嚼片（850mg/片*90片）,6910310000000 ,0,502,华联连锁药店,153.6,128
4530,汤臣倍健股份有限公司,Z2倍健胶原蛋白天然维生素E片（750mg/片*60片）,6940860000000 ,0,502,华联连锁药店,225.6,188
4529,广州健之嘉健康食品有限公司,Z2纽斯葆牌葛维片（0.6g*6片）,6940060000000 ,0,502,华联连锁药店,45.6,38
4528,海南养生堂药业有限公司,H2养生堂牌天然维生素C咀嚼片（850mg/片*130片）,6910310000000 ,0,502,华联连锁药店,201.6,168
4527,汤臣倍健股份有限公司,Z2汤臣倍健多种维生素矿物质片（女士型）（1.5g/片*60片（女士型））,6940860000000 ,0,502,华联连锁药店,177.6,148
4526,汤臣倍健股份有限公司,Z2倍健多种维生素矿物质片（老年人型）（1.5g*60片*老年人型）,6940860000000 ,0,502,华联连锁药店,177.6,148
4525,汤臣倍健股份有限公司,Z2倍健维生素C加天然维生素E咀嚼片1.2gx60片/瓶,6940860000000 ,0,501,华联连锁药店,177.6,148
